Legend:
  ':' means that the register is kept alive, while it is not actively being used by the current instruction
  '^' means that the current instruction writes to the register
  'v' means that the current instruction reads from the register
  'x' means that the current instruction both reads from the register and writes to it
 'Rn': Number of live registers

  Line | Rn  |             | Instruction
--------------------------------------------------------------------------------
     1 |   1 | :           | s_load_b32 s3, s[0:1], 0x18
     2 |   1 | :           | s_waitcnt lgkmcnt(0)
     3 |   1 | :           | s_cmp_eq_u32 s3, 0
     4 |   1 | :           | s_cbranch_scc1 _L29
     5 |   1 | :           | s_clause 0x1
     6 |   1 | :           | s_load_b32 s4, s[0:1], 0x2c
     7 |   1 | :           | s_load_b32 s8, s[0:1], 0x48
     9 |   3 | :  ^^       | v_dual_mov_b32 v3, 0x200 :: v_dual_mov_b32 v4, 0
    10 |   3 | :  ::       | s_waitcnt lgkmcnt(0)
    11 |   3 | :  ::       | s_and_b32 s9, s4, 0xffff
    12 |   3 | :  ::       | s_clause 0x1
    13 |   3 | :  ::       | s_load_b128 s[4:7], s[0:1], null
    14 |   3 | :  ::       | s_load_b64 s[0:1], s[0:1], 0x10
    15 |   3 | :  ::       | s_mul_i32 s2, s2, s9
    16 |   3 | :  ::       | s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)
    17 |   3 | x  ::       | v_add3_u32 v0, s2, s8, v0
    18 |   3 | :  ::       | s_mov_b32 s2, s3
    19 |   3 | x  ::       | v_mul_lo_u32 v0, v0, s3
    20 |   3 | :  ::       | s_delay_alu instid0(VALU_DEP_1)
    22 |   5 | v^^::       | v_dual_mov_b32 v2, 0 :: v_dual_mov_b32 v1, v0
    23 |   5 | :::::       | s_nop 0
    24 |   5 | :::::       | label_30: s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)
    25 |   7 | :vv::^^     | v_lshlrev_b64 v[5:6], 2, v[1:2]
    26 |   7 | :x:::::     | v_add_nc_u32 v1, 1, v1
    27 |   7 | :::::::     | s_add_i32 s2, s2, -1
    28 |   7 | :::::::     | s_cmp_lg_u32 s2, 0
