bits,mode,kernel,ms,ops_per_s,private_mem_bytes,local_mem_bytes,preferred_wg_multiple,max_wg_size
1024,wg,ecm_mp_add_n_bench,4.9164,1.56212e+08,384,1,32,256
1024,wg,ecm_mp_add_mod_bench,4.02,1.91045e+08,512,1,32,256
1024,wg,ecm_mp_sub_mod_bench,4.2769,1.79569e+08,512,1,32,256
1024,wg,ecm_mont_mul_priv_bench,216.661,3.54471e+06,656,1,32,256
1024,wg,ecm_mont_sqr_priv_bench,190.992,4.02111e+06,528,1,32,256
1024,wg,cgbn_mont_mul_wg_bench,171.842,4.46923e+06,0,416,32,256
1024,wg,cgbn_mont_sqr_wg_bench,169.749,4.52432e+06,0,416,32,256
1024,wg,summary_selected_mont_mul_wg,171.842,4.46923e+06,0,0,0,0
1024,wg,summary_selected_mont_sqr_wg,169.749,4.52432e+06,0,0,0,0
1024,priv,ecm_mp_add_n_bench,4.9308,1.55756e+08,384,1,32,256
1024,priv,ecm_mp_add_mod_bench,4.0165,1.91211e+08,512,1,32,256
1024,priv,ecm_mp_sub_mod_bench,4.2861,1.79184e+08,512,1,32,256
1024,priv,ecm_mont_mul_priv_bench,218.02,3.52261e+06,656,1,32,256
1024,priv,ecm_mont_sqr_priv_bench,192.508,3.98945e+06,528,1,32,256
1024,priv,summary_selected_mont_mul_priv,218.02,3.52261e+06,0,0,0,0
1024,priv,summary_selected_mont_sqr_priv,192.508,3.98945e+06,0,0,0,0
2048,wg,ecm_mp_add_n_bench,17.9603,4.2761e+07,768,1,32,256
2048,wg,ecm_mp_add_mod_bench,37.5955,2.0428e+07,1024,1,32,256
2048,wg,ecm_mp_sub_mod_bench,18.1086,4.24108e+07,1024,1,32,256
2048,wg,ecm_mont_mul_priv_bench,1978.08,388256,1296,1,32,256
2048,wg,ecm_mont_sqr_priv_bench,1970.71,389708,1040,1,32,256
2048,wg,cgbn_mont_mul_wg_bench,654.155,1.17403e+06,0,800,32,256
2048,wg,cgbn_mont_sqr_wg_bench,657.995,1.16718e+06,0,800,32,256
2048,wg,summary_selected_mont_mul_wg,654.155,1.17403e+06,0,0,0,0
2048,wg,summary_selected_mont_sqr_wg,657.995,1.16718e+06,0,0,0,0
2048,priv,ecm_mp_add_n_bench,17.9691,4.274e+07,768,1,32,256
2048,priv,ecm_mp_add_mod_bench,37.6103,2.04199e+07,1024,1,32,256
2048,priv,ecm_mp_sub_mod_bench,18.066,4.25108e+07,1024,1,32,256
2048,priv,ecm_mont_mul_priv_bench,1975.74,388716,1296,1,32,256
2048,priv,ecm_mont_sqr_priv_bench,1969.58,389930,1040,1,32,256
2048,priv,summary_selected_mont_mul_priv,1975.74,388716,0,0,0,0
2048,priv,summary_selected_mont_sqr_priv,1969.58,389930,0,0,0,0
4096,wg,ecm_mp_add_n_bench,44.644,1.72028e+07,1536,1,32,256
4096,wg,ecm_mp_add_mod_bench,102.09,7.52277e+06,2048,1,32,256
4096,wg,ecm_mp_sub_mod_bench,42.599,1.80286e+07,2048,1,32,256
4096,wg,ecm_mont_mul_priv_bench,8234.56,93265.5,2576,1,32,256
4096,wg,ecm_mont_sqr_priv_bench,8197.05,93692.3,2064,1,32,256
4096,wg,cgbn_mont_mul_wg_bench,2546.94,301539,0,1568,32,256
4096,wg,cgbn_mont_sqr_wg_bench,2559.7,300035,0,1568,32,256
4096,wg,summary_selected_mont_mul_wg,2546.94,301539,0,0,0,0
4096,wg,summary_selected_mont_sqr_wg,2559.7,300035,0,0,0,0
4096,priv,ecm_mp_add_n_bench,44.7919,1.7146e+07,1536,1,32,256
4096,priv,ecm_mp_add_mod_bench,101.268,7.58382e+06,2048,1,32,256
4096,priv,ecm_mp_sub_mod_bench,43.0846,1.78254e+07,2048,1,32,256
4096,priv,ecm_mont_mul_priv_bench,8261.44,92962,2576,1,32,256
4096,priv,ecm_mont_sqr_priv_bench,8229.96,93317.6,2064,1,32,256
4096,priv,summary_selected_mont_mul_priv,8261.44,92962,0,0,0,0
4096,priv,summary_selected_mont_sqr_priv,8229.96,93317.6,0,0,0,0
8192,wg,ecm_mp_add_n_bench,100.418,7.64805e+06,3072,1,32,256
8192,wg,ecm_mp_add_mod_bench,234.116,3.28043e+06,4096,1,32,256
8192,wg,ecm_mp_sub_mod_bench,87.19,8.80835e+06,4096,1,32,256
8192,wg,ecm_mont_mul_priv_bench,33190.7,23139,5136,1,32,256
8192,wg,ecm_mont_sqr_priv_bench,32997.2,23274.7,4112,1,32,256
8192,wg,cgbn_mont_mul_wg_bench,10072,76251.2,0,3104,32,256
8192,wg,cgbn_mont_sqr_wg_bench,10026.9,76593.9,0,3104,32,256
8192,wg,summary_selected_mont_mul_wg,10072,76251.2,0,0,0,0
8192,wg,summary_selected_mont_sqr_wg,10026.9,76593.9,0,0,0,0
8192,priv,ecm_mp_add_n_bench,86.7042,8.8577e+06,3072,1,32,256
8192,priv,ecm_mp_add_mod_bench,224.266,3.42451e+06,4096,1,32,256
8192,priv,ecm_mp_sub_mod_bench,85.9108,8.9395e+06,4096,1,32,256
8192,priv,ecm_mont_mul_priv_bench,33188.2,23140.8,5136,1,32,256
8192,priv,ecm_mont_sqr_priv_bench,33017.1,23260.7,4112,1,32,256
8192,priv,summary_selected_mont_mul_priv,33188.2,23140.8,0,0,0,0
8192,priv,summary_selected_mont_sqr_priv,33017.1,23260.7,0,0,0,0
