bits,limbs,np0_hex,iterations,instances,device_name,compute_units,max_work_group_size,mul_equal,sqr_equal,opencl_mul_ms,opencl_mul_iter_ops_per_s,opencl_mul_bit_per_s,opencl_sqr_ms,opencl_sqr_iter_ops_per_s,opencl_sqr_bit_per_s,cpu_mul_ms,cpu_mul_iter_ops_per_s,cpu_mul_bit_per_s,cpu_sqr_ms,cpu_sqr_iter_ops_per_s,cpu_sqr_bit_per_s
128,4,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,18.6442,1.37E+07,1.76E+09,11.4229,2.24E+07,2.87E+09,29.0068,8.83E+06,1.13E+09,29.8548,8.57E+06,1.10E+09
256,8,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,19.6357,1.30E+07,3.34E+09,18.9721,1.35E+07,3.45E+09,49.9858,5.12E+06,1.31E+09,50.6685,5.05E+06,1.29E+09
512,16,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,80.106,3.20E+06,1.64E+09,79.8123,3.21E+06,1.64E+09,62.8863,4.07E+06,2.08E+09,62.043,4.13E+06,2.11E+09
1024,32,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,536.924,476790,4.88E+08,533.623,479739,4.91E+08,69.2917,3.69E+06,3.78E+09,69.9031,3.66E+06,3.75E+09
2048,64,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,2128.68,120262,2.46E+08,2130.24,120174,2.46E+08,83.4673,3.07E+06,6.28E+09,84.188,3.04E+06,6.23E+09
3072,96,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,4857.64,52700.4,1.62E+08,4868.55,52582.4,1.62E+08,97.0359,2.64E+06,8.10E+09,96.9567,2.64E+06,8.11E+09
4096,128,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,8393.4,30500.1,1.25E+08,8378.45,30554.6,1.25E+08,117.462,2.18E+06,8.93E+09,120.086,2.13E+06,8.73E+09
5120,160,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,13597.5,18826.9,9.64E+07,13611.2,18808,9.63E+07,176.685,1.45E+06,7.42E+09,178.024,1.44E+06,7.36E+09
6144,192,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,19155.1,13364.6,8.21E+07,19164.5,13358,8.21E+07,188.175,1.36E+06,8.36E+09,324.649,788544,4.84E+09
7168,224,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,25654.6,9978.7,7.15E+07,25651.9,9979.78,7.15E+07,267.72,956223,6.85E+09,277.723,921783,6.61E+09
8192,256,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,33138.4,7725.19,6.33E+07,33139.8,7724.84,6.33E+07,354.819,721495,5.91E+09,308.381,830141,6.80E+09
9216,288,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,42692.1,5996.42,5.53E+07,42670.6,5999.44,5.53E+07,322.946,792703,7.31E+09,330.759,773977,7.13E+09
10240,320,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,53910,4748.65,4.86E+07,53959.3,4744.32,4.86E+07,349.005,733515,7.51E+09,337.438,758659,7.77E+09
11264,352,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,63112,4056.28,4.57E+07,63091.8,4057.58,4.57E+07,371.102,689837,7.77E+09,369.706,692442,7.80E+09
12288,384,0xd516325,1000,256,NVIDIA GeForce RTX 4060 Laptop GPU,24,1024,YES,YES,76169.3,3360.93,4.13E+07,76101,3363.95,4.13E+07,389.796,656754,8.07E+09,386.391,662541,8.14E+09
